-7.30,-2.51,-7.61,48,90,56,0,Thumbs Up
7.34,-2.47,-7.69,48,90,56,0,Thumbs Up
30,-2.43,-7.65,49,89,57,0,Thumbs Up
7.30,-2.43,-7.65,49,89,58,0,Thumbs Up
.30,-2.43,-7.69,50,89,56,0,Thumbs Up
-7.26,-2.51,-7.61,49,89,57,0,Thumbs Up
7.30,-2.43,-7.57,48,89,57,0,Thumbs Up
34,-2.47,-7.65,49,89,57,0,Thumbs Up
-7.30,-2.39,-7.65,48,90,56,0,Thumbs Up
.30,-2.55,-7.61,49,89,57,0,Thumbs Up
30,-2.51,-7.61,49,89,56,0,Thumbs Up
7.30,-2.51,-7.65,49,90,56,0,Thumbs Up
.30,-2.55,-7.61,49,89,57,0,Thumbs Up
-7.34,-2.39,-7.69,50,89,57,0,Thumbs Up
7.37,-2.35,-7.61,49,89,57,0,Thumbs Up
37,-2.35,-7.53,49,89,57,0,Thumbs Up
-7.37,-2.39,-7.61,49,89,57,0,Thumbs Up
.37,-2.35,-7.57,48,90,56,0,Thumbs Up
34,-2.39,-7.57,49,89,56,0,Thumbs Up
7.30,-2.51,-7.57,49,90,56,0,Thumbs Up
.34,-2.51,-7.61,48,89,56,0,Thumbs Up
-7.34,-2.55,-7.57,48,90,56,0,Thumbs Up
7.30,-2.47,-7.53,48,90,56,0,Thumbs Up
37,-2.51,-7.53,48,89,56,0,Thumbs Up
-7.34,-2.43,-7.57,49,89,57,0,Thumbs Up
.30,-2.35,-7.57,48,89,56,0,Thumbs Up
30,-2.47,-7.57,48,89,56,0,Thumbs Up
7.34,-2.39,-7.61,49,89,57,0,Thumbs Up
.34,-2.43,-7.65,48,89,56,0,Thumbs Up
-7.37,-2.47,-7.61,49,89,57,0,Thumbs Up
7.34,-2.43,-7.61,48,89,56,0,Thumbs Up
30,-2.43,-7.57,48,89,56,0,Thumbs Up
-7.30,-2.47,-7.65,49,89,57,0,Thumbs Up
.26,-2.43,-7.65,49,89,58,0,Thumbs Up
34,-2.43,-7.57,49,90,56,0,Thumbs Up
7.37,-2.43,-7.65,50,89,56,0,Thumbs Up
.34,-2.47,-7.61,49,89,56,0,Thumbs Up
-7.26,-2.51,-7.57,49,89,57,0,Thumbs Up
7.37,-2.51,-7.57,49,89,56,0,Thumbs Up
30,-2.39,-7.65,49,89,57,0,Thumbs Up
-7.26,-2.35,-7.61,49,89,57,0,Thumbs Up
.30,-2.47,-7.49,49,89,57,0,Thumbs Up
37,-2.47,-7.53,50,90,56,0,Thumbs Up
7.34,-2.24,-7.61,49,89,56,0,Thumbs Up
.34,-2.35,-7.65,49,89,57,0,Thumbs Up
-7.34,-2.51,-7.69,48,89,57,0,Thumbs Up
7.26,-2.47,-7.73,48,89,56,0,Thumbs Up
30,-2.43,-7.65,48,89,57,0,Thumbs Up
-7.26,-2.51,-7.61,49,90,56,0,Thumbs Up
.26,-2.59,-7.65,49,89,56,0,Thumbs Up
30,-2.51,-7.61,49,90,56,0,Thumbs Up
7.37,-2.39,-7.65,48,89,56,0,Thumbs Up
.45,-2.24,-7.57,48,90,56,0,Thumbs Up
-7.45,-2.24,-7.49,48,89,56,0,Thumbs Up
7.41,-2.24,-7.57,50,89,56,0,Thumbs Up
34,-2.31,-7.61,49,89,57,0,Thumbs Up
-7.26,-2.43,-7.69,49,89,56,0,Thumbs Up
.30,-2.35,-7.73,49,90,57,0,Thumbs Up
26,-2.47,-7.65,48,89,56,0,Thumbs Up
7.26,-2.47,-7.65,49,89,57,0,Thumbs Up
.30,-2.59,-7.57,49,90,56,0,Thumbs Up
-7.30,-2.55,-7.57,48,89,57,0,Thumbs Up
7.45,-2.51,-7.49,49,89,58,0,Thumbs Up
49,-2.39,-7.37,48,89,56,0,Thumbs Up
-7.45,-2.20,-7.41,49,89,57,0,Thumbs Up
.41,-2.24,-7.49,49,90,57,0,Thumbs Up
37,-2.39,-7.49,49,89,56,0,Thumbs Up
7.30,-2.28,-7.57,49,90,56,0,Thumbs Up
.26,-2.55,-7.61,48,89,56,0,Thumbs Up
-7.22,-2.55,-7.69,49,90,56,0,Thumbs Up
22,-2.39,-7.73,48,90,57,0,Thumbs Up
-7.34,-2.35,-7.69,49,90,56,0,Thumbs Up
.26,-2.35,-7.57,48,89,57,0,Thumbs Up
37,-2.35,-7.57,48,90,56,0,Thumbs Up
7.37,-2.31,-7.49,50,89,56,0,Thumbs Up
.30,-2.51,-7.57,49,89,57,0,Thumbs Up
-7.30,-2.43,-7.69,49,89,56,0,Thumbs Up
7.30,-2.51,-7.65,49,89,56,0,Thumbs Up
34,-2.35,-7.69,48,89,56,0,Thumbs Up
-7.26,-2.51,-7.61,49,90,57,0,Thumbs Up
.34,-2.43,-7.57,48,90,56,0,Thumbs Up
37,-2.28,-7.61,48,89,56,0,Thumbs Up
7.41,-2.35,-7.53,50,89,56,0,Thumbs Up
.41,-2.31,-7.53,48,89,56,0,Thumbs Up
-7.37,-2.39,-7.53,49,89,57,0,Thumbs Up
7.37,-2.47,-7.45,49,89,56,0,Thumbs Up
30,-2.51,-7.53,49,89,56,0,Thumbs Up
7.30,-2.47,-7.61,49,89,57,0,Thumbs Up
.30,-2.39,-7.61,49,90,57,0,Thumbs Up
-7.37,-2.39,-7.61,48,89,56,0,Thumbs Up
7.37,-2.20,-7.61,49,89,57,0,Thumbs Up
.41,-2.20,-7.69,49,89,56,0,Thumbs Up
